document_id,source_file,section_or_page,document_type,source_org,category,service_task,risk_type,retrieval_tags,summary,key_evidence,recommended_output,chunk_text,metadata_json,reliability_score,priority,status,risk_category
CASE_QNA_0001,피해구제사례1.pdf,p.1 / Q1,CASE_QNA,한국소비자원,공통,전체 리모델링,"하자보수, 품질보증기간","리모델링, 하자담보기간, 하자보수, 실내건축공사",리모델링 후 6개월 이상 하자가 계속 발견되고 사업자가 보수를 거절하는 사례.,"실내건축공사의 하자담보기간은 1년으로 제시되어, 기간 내 발생 하자는 보수 요구 가능.",리스크 리포트에서 '하자보수 기간 확인' 및 '공사완료일 기준 보증기간 확인' 안내.,"입주 20년 아파트 전체 리모델링 후 6개월 이상 하자가 발견된 경우, 실내건축공사의 하자담보기간 1년 기준에 따라 발생한 하자에 대해 보수 공사를 요구할 수 있다.","{""document_id"": ""CASE_QNA_0001"", ""document_type"": ""CASE_QNA"", ""source_file"": ""피해구제사례1.pdf"", ""source_org"": ""한국소비자원"", ""category"": ""공통"", ""service_task"": ""전체 리모델링"", ""risk_type"": [""하자보수"", ""품질보증기간""], ""retrieval_tags"": [""리모델링"", ""하자담보기간"", ""하자보수"", ""실내건축공사""], ""reliability_score"": 0.95, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",0.95,상,사용,CONTRACT
CASE_QNA_0002,피해구제사례1.pdf,p.1 / Q2,CASE_QNA,한국소비자원,발코니/창호,발코니 확장,"결로, 하자보수, 책임소재","발코니, 확장, 결로, 분양사업자, 하자담보책임",분양아파트 발코니 확장 후 결로가 개선되지 않는 사례.,분양계약 당시 분양사업자에게 발코니 확장을 의뢰하고 대금을 지급했다면 분양사업자 책임 검토 가능.,"발코니 확장 견적 시 '결로 가능성', '단열/창호 성능 확인', '책임주체 명시' 안내.","발코니 확장 공사는 실외공간을 사실상 실내공간으로 전환하는 작업이므로, 결로 발생 가능성이 높다. 분양사업자에게 일괄 의뢰·대금 지급한 경우 하자담보책임을 물을 수 있다.","{""document_id"": ""CASE_QNA_0002"", ""document_type"": ""CASE_QNA"", ""source_file"": ""피해구제사례1.pdf"", ""source_org"": ""한국소비자원"", ""category"": ""발코니/창호"", ""service_task"": ""발코니 확장"", ""risk_type"": [""결로"", ""하자보수"", ""책임소재""], ""retrieval_tags"": [""발코니"", ""확장"", ""결로"", ""분양사업자"", ""하자담보책임""], ""reliability_score"": 0.95, ""priority"": ""상"", ""risk_category"": ""FIELD""}",0.95,상,사용,FIELD
CASE_QNA_0003,피해구제사례1.pdf,p.1~2 / Q3,CASE_QNA,한국소비자원,주방/욕실/타일,"싱크대 설치, 타일공사, 배관공사","시공불량, 하자보수, 손해배상, 계약해제","싱크대, 수평불량, 상부장, 도급계약, 민법 667조, 민법 668조",싱크대 수평 불량 및 상부장 쏠림 등 명백한 시공상 하자 사례.,"성능·기능·외관상 분명한 하자가 확인되면 보수 및 손해배상을 청구할 수 있고, 목적 달성 불가 시 계약해제 검토 가능.","싱크대/수납장 견적 시 '수평·고정 상태 검수', '하자보수 청구 가능성' 안내.",싱크대 수평 불량이나 상부장 기울어짐처럼 성능·기능·외관상 분명한 하자가 있으면 업체는 하자부위를 보수해야 한다. 도급계약상 완성 목적물 하자에 대해 보수·손해배상 청구가 가능하다.,"{""document_id"": ""CASE_QNA_0003"", ""document_type"": ""CASE_QNA"", ""source_file"": ""피해구제사례1.pdf"", ""source_org"": ""한국소비자원"", ""category"": ""주방/욕실/타일"", ""service_task"": ""싱크대 설치, 타일공사, 배관공사"", ""risk_type"": [""시공불량"", ""하자보수"", ""손해배상"", ""계약해제""], ""retrieval_tags"": [""싱크대"", ""수평불량"", ""상부장"", ""도급계약"", ""민법 667조"", ""민법 668조""], ""reliability_score"": 0.95, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",0.95,상,사용,CONTRACT
CASE_QNA_0004,피해구제사례1.pdf,p.2 / Q4,CASE_QNA,한국소비자원,가전/설비,보일러 수리,"품질보증, 부품미보유, 교환/환급","보일러, 수리불가, 부품보유기간, 품질보증기간, 교환, 환급",설치 1년 미만 보일러 하자 발생 후 부품 미보유로 수리가 불가능한 사례.,"품질보증기간 내 정상 사용 중 발생한 성능·기능 하자는 무상수리, 수리 불가능 시 교환 또는 환급 기준 적용.",보일러 견적/수리 안내 시 '품질보증기간·부품보유기간 확인' 안내.,"품질보증기간 내 보일러 성능·기능상 하자가 발생했는데 부품 미보유로 수리가 불가능한 경우, 소비자분쟁해결기준에 따라 제품교환 또는 구입가 환급을 검토할 수 있다.","{""document_id"": ""CASE_QNA_0004"", ""document_type"": ""CASE_QNA"", ""source_file"": ""피해구제사례1.pdf"", ""source_org"": ""한국소비자원"", ""category"": ""가전/설비"", ""service_task"": ""보일러 수리"", ""risk_type"": [""품질보증"", ""부품미보유"", ""교환/환급""], ""retrieval_tags"": [""보일러"", ""수리불가"", ""부품보유기간"", ""품질보증기간"", ""교환"", ""환급""], ""reliability_score"": 0.9, ""priority"": ""중"", ""risk_category"": ""CONTRACT""}",0.9,중,사용,CONTRACT
CASE_QNA_0005,피해구제사례1.pdf,p.2 / Q5,CASE_QNA,한국소비자원,가전/설비,보일러 누수 수리,"누수, 반복하자, 환급","보일러, 누수, 동일하자, 반복수리, 환급",보일러 설치 후 누수가 1년 넘게 반복되고 환급 요구가 거절된 사례.,동일 하자에 대해 2회까지 수리 후 재발하면 수리 불가능으로 보아 환급 가능.,보일러 누수 리포트에서 '동일 하자 반복 여부'와 '수리 이력 보관' 안내.,"보일러 누수가 반복되고 동일 하자에 대해 2회 수리 후 재발한 경우, 수리 불가능으로 보아 제품교환 또는 구입가 환급을 요구할 수 있다.","{""document_id"": ""CASE_QNA_0005"", ""document_type"": ""CASE_QNA"", ""source_file"": ""피해구제사례1.pdf"", ""source_org"": ""한국소비자원"", ""category"": ""가전/설비"", ""service_task"": ""보일러 누수 수리"", ""risk_type"": [""누수"", ""반복하자"", ""환급""], ""retrieval_tags"": [""보일러"", ""누수"", ""동일하자"", ""반복수리"", ""환급""], ""reliability_score"": 0.9, ""priority"": ""중"", ""risk_category"": ""CONTRACT""}",0.9,중,사용,CONTRACT
CASE_QNA_0006,피해구제사례1.pdf,p.2~3 / Q6,CASE_QNA,한국소비자원,공동주택,하자보수,"균열, 누수, 하자보수보증금, 하자담보책임","공동주택, 하자보수보증금, 균열, 누수, 하자담보책임, 소송",신축 아파트에서 균열·누수 등 하자가 반복되고 하자보수보증금 부족을 이유로 보수를 거절한 사례.,하자보수보증금 포기 여부와 관계없이 하자담보책임기간 내 발생한 하자에 대해 사업자 책임이 유지됨.,공동주택 리스크 리포트에서 '보증금과 별개로 하자담보책임 존재' 안내.,"공동주택에서 하자보수보증금이 부족하거나 사업자가 보증금을 포기하더라도, 하자담보책임 기간 내 발생한 하자에 대해서는 사업자에게 보수를 요구할 수 있다.","{""document_id"": ""CASE_QNA_0006"", ""document_type"": ""CASE_QNA"", ""source_file"": ""피해구제사례1.pdf"", ""source_org"": ""한국소비자원"", ""category"": ""공동주택"", ""service_task"": ""하자보수"", ""risk_type"": [""균열"", ""누수"", ""하자보수보증금"", ""하자담보책임""], ""retrieval_tags"": [""공동주택"", ""하자보수보증금"", ""균열"", ""누수"", ""하자담보책임"", ""소송""], ""reliability_score"": 0.95, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",0.95,상,사용,CONTRACT
DISPUTE_0001,소비자분쟁해결기준 개정안(2025).pdf,제1~3조,DISPUTE_STANDARD,공정거래위원회,공통,분쟁해결 기준,"피해구제, 분쟁조정","소비자분쟁해결기준, 피해구제청구, 한국소비자원, 품목별 기준",소비자와 사업자 간 분쟁 해결을 위한 품목별 기준의 목적과 피해구제 청구 근거.,"합의가 어려운 경우 중앙행정기관, 시·도지사, 한국소비자원장 또는 소비자단체에 피해구제 청구 가능.",리스크 리포트 하단에 '분쟁 발생 시 소비자원 등 피해구제 절차 이용 가능' 안내.,"소비자분쟁해결기준은 소비자와 사업자 간 분쟁을 원활히 해결하기 위한 구체적 합의·권고 기준이며, 합의가 되지 않을 경우 한국소비자원장 등에게 피해구제를 청구할 수 있다.","{""document_id"": ""DISPUTE_0001"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""소비자분쟁해결기준 개정안(2025).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""공통"", ""service_task"": ""분쟁해결 기준"", ""risk_type"": [""피해구제"", ""분쟁조정""], ""retrieval_tags"": [""소비자분쟁해결기준"", ""피해구제청구"", ""한국소비자원"", ""품목별 기준""], ""reliability_score"": 1.0, ""priority"": ""중"", ""risk_category"": ""CONTRACT""}",1,중,사용,CONTRACT
DISPUTE_0002,소비자분쟁해결기준 개정안(2025).pdf,실내건축공사업,DISPUTE_STANDARD,공정거래위원회,실내건축,실내건축공사,"시공하자, 품질불량, 누수, 방수불량, 단열하자","실내건축공사업, 내부마감, 방수, 타일, 조적, 누수, 단열",실내건축공사의 범위와 누수·방수·단열 등 기능상 하자 개선 공사 준용 기준.,내부 도장·미장·방수·타일·조적공사 및 누수·방수·단열 기능상 하자 개선 공사가 실내건축 기준에 포함 또는 준용됨.,대부분의 인테리어 리스크 리포트에서 기본 근거 문서로 활용.,"실내건축공사업 기준은 건축물 내부를 용도와 기능에 맞게 건설·마감하는 공사에 적용되며, 내부 도장·미장·방수·타일·조적공사와 누수·방수·단열 등 기능상 하자 개선 공사에도 준용할 수 있다.","{""document_id"": ""DISPUTE_0002"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""소비자분쟁해결기준 개정안(2025).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""실내건축"", ""service_task"": ""실내건축공사"", ""risk_type"": [""시공하자"", ""품질불량"", ""누수"", ""방수불량"", ""단열하자""], ""retrieval_tags"": [""실내건축공사업"", ""내부마감"", ""방수"", ""타일"", ""조적"", ""누수"", ""단열""], ""reliability_score"": 1.0, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",1,상,사용,CONTRACT
DISPUTE_0003,소비자분쟁해결기준 개정안(2025).pdf,실내건축 품목별 하자기준,DISPUTE_STANDARD,공정거래위원회,욕실/주방,위생기구 설치,"작동불량, 균열, 누수, 도금불량, 규격미달","위생기구, 수전, 세면대, 변기, 누수, 작동불량",위생기구의 품질불량과 시공상 하자 유형을 리스크 태그로 활용.,"위생기구 품질불량은 작동불량·색채불량·균열·도금불량·기준규격 미달, 시공상 하자는 파손·작동불량·균열·누수로 제시됨.",욕실/주방 수전·세면대·변기 작업에서 핵심 검수항목으로 안내.,"위생기구는 작동불량, 균열, 도금불량, 기준규격 미달, 파손, 누수 등이 주요 하자 유형이므로 설치 후 작동·누수·외관을 확인해야 한다.","{""document_id"": ""DISPUTE_0003"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""소비자분쟁해결기준 개정안(2025).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""욕실/주방"", ""service_task"": ""위생기구 설치"", ""risk_type"": [""작동불량"", ""균열"", ""누수"", ""도금불량"", ""규격미달""], ""retrieval_tags"": [""위생기구"", ""수전"", ""세면대"", ""변기"", ""누수"", ""작동불량""], ""reliability_score"": 1.0, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",1,상,사용,CONTRACT
DISPUTE_0004,소비자분쟁해결기준 개정안(2025).pdf,실내건축 품목별 하자기준,DISPUTE_STANDARD,공정거래위원회,벽지/도배,도배공사,"변퇴색, 보풀, 품질불량","벽지, 도배, 변퇴색, 색채불량, 보풀현상",벽지의 품질불량 및 시공상 하자 유형 정리.,"벽지는 변·퇴색, 색채불량, 기준규격 미달, 보풀현상 등이 하자 유형으로 제시됨.",도배 리스크 리포트에서 색상·자재·마감상태 확인 항목으로 안내.,"도배 작업은 변·퇴색, 색채불량, 기준규격 미달, 보풀현상 등이 발생할 수 있으므로 자재 샘플과 마감 상태를 계약·검수 단계에서 확인해야 한다.","{""document_id"": ""DISPUTE_0004"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""소비자분쟁해결기준 개정안(2025).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""벽지/도배"", ""service_task"": ""도배공사"", ""risk_type"": [""변퇴색"", ""보풀"", ""품질불량""], ""retrieval_tags"": [""벽지"", ""도배"", ""변퇴색"", ""색채불량"", ""보풀현상""], ""reliability_score"": 1.0, ""priority"": ""중"", ""risk_category"": ""CONTRACT""}",1,중,사용,CONTRACT
DISPUTE_0005,소비자분쟁해결기준 개정안(2025).pdf,실내건축 품목별 하자기준,DISPUTE_STANDARD,공정거래위원회,타일,타일공사,"접착불량, 백화, 동해, 품질불량","타일, 백화, 동해, 접착불량, 규격미달",타일의 품질불량과 시공상 하자 유형을 리스크 유형으로 활용.,"타일은 변·퇴색, 기준규격 미달, 백화·동해현상, 접착불량 등이 하자 유형으로 제시됨.",타일 견적/시공 리포트에서 접착상태·줄눈·백화 리스크 안내.,"타일공사는 변·퇴색, 기준규격 미달, 백화·동해현상, 접착불량 등이 주요 하자 유형이므로 바탕면, 접착제, 줄눈 및 시공 후 들뜸 검사가 중요하다.","{""document_id"": ""DISPUTE_0005"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""소비자분쟁해결기준 개정안(2025).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""타일"", ""service_task"": ""타일공사"", ""risk_type"": [""접착불량"", ""백화"", ""동해"", ""품질불량""], ""retrieval_tags"": [""타일"", ""백화"", ""동해"", ""접착불량"", ""규격미달""], ""reliability_score"": 1.0, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",1,상,사용,CONTRACT
DISPUTE_0006,54. 창호공사업(1개 업종).pdf,창호공사업 1),DISPUTE_STANDARD,공정거래위원회,창호,창호공사,"시공하자, 균열, 누수, 파손, 하자보수","창호, 샷시, 균열, 누수, 파손, 무상수리, 유상수리",창호공사 시공상 하자에 대한 하자보수 책임기간 내외 기준.,"시공상 하자(균열·누수·파손 등)는 하자보수 책임기간 이내 무상수리, 이후 유상수리.",창호/샷시 리스크 리포트에서 누수·균열·파손과 무상수리기간 확인 안내.,"창호공사에서 균열·누수·파손 등 시공상 하자가 발생한 경우, 하자보수 책임기간 이내에는 무상수리 기준을 적용하고 이후에는 유상수리 기준을 적용한다.","{""document_id"": ""DISPUTE_0006"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""54. 창호공사업(1개 업종).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""창호"", ""service_task"": ""창호공사"", ""risk_type"": [""시공하자"", ""균열"", ""누수"", ""파손"", ""하자보수""], ""retrieval_tags"": [""창호"", ""샷시"", ""균열"", ""누수"", ""파손"", ""무상수리"", ""유상수리""], ""reliability_score"": 1.0, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",1,상,사용,CONTRACT
DISPUTE_0007,54. 창호공사업(1개 업종).pdf,창호공사업 2),DISPUTE_STANDARD,공정거래위원회,창호,창호 규격/자재,"규격미달, 차액환급, 교체시공","창호, 규격미달, 시공비 차액, 교체시공, 유리두께",창호 규격미달 시 교체시공 또는 시공비 차액 환급 기준.,규격미달은 사업자 책임 하에 교체시공하거나 시공비 차액 환급.,창호 견적 시 제품명·색상·유리두께 등 규격 명시 필요 안내.,"창호 자재가 계약 규격보다 미달하면 사업자 책임으로 교체시공하거나 시공비 차액 환급을 요구할 수 있으므로 제품명, 색상, 유리두께 등 규격을 계약서에 명확히 적어야 한다.","{""document_id"": ""DISPUTE_0007"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""54. 창호공사업(1개 업종).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""창호"", ""service_task"": ""창호 규격/자재"", ""risk_type"": [""규격미달"", ""차액환급"", ""교체시공""], ""retrieval_tags"": [""창호"", ""규격미달"", ""시공비 차액"", ""교체시공"", ""유리두께""], ""reliability_score"": 1.0, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",1,상,사용,CONTRACT
DISPUTE_0008,54. 창호공사업(1개 업종).pdf,창호공사업 3),DISPUTE_STANDARD,공정거래위원회,창호,사업자 귀책 계약해제,"계약해제, 환급, 배상, 공사지연","창호, 계약해제, 선급금, 총시공비 10%, 대금정산",사업자 귀책사유로 인한 창호공사 계약해제 기준.,"공사시작 전에는 선급금 전액 환급 및 총시공비 10% 배상, 공사시작 후에는 대금정산 후 총시공비 10% 배상.",창호 공사 지연·미이행 리포트에서 계약해제 시 환급/배상 기준 안내.,"사업자 귀책으로 창호공사 계약을 해제하는 경우 공사시작 전에는 선급금 전액 환급과 총시공비 10% 배상, 공사시작 후에는 대금정산 후 총시공비 10% 배상 기준을 검토한다.","{""document_id"": ""DISPUTE_0008"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""54. 창호공사업(1개 업종).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""창호"", ""service_task"": ""사업자 귀책 계약해제"", ""risk_type"": [""계약해제"", ""환급"", ""배상"", ""공사지연""], ""retrieval_tags"": [""창호"", ""계약해제"", ""선급금"", ""총시공비 10%"", ""대금정산""], ""reliability_score"": 1.0, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",1,상,사용,CONTRACT
DISPUTE_0009,54. 창호공사업(1개 업종).pdf,창호공사업 4),DISPUTE_STANDARD,공정거래위원회,창호,소비자 귀책 계약해제,"계약해제, 위약금, 실손해액","창호, 계약금, 실측, 공사착수, 실손해액",소비자 귀책사유로 인한 창호공사 계약해제 기준.,"계약 또는 실측만 한 경우 계약금을 위약금으로 하되 총 시공비의 10% 한도, 제작 또는 공사 착수 시 실손해액 배상.",소비자 요청 취소 리스크에서 취소 시점별 부담 가능성 안내.,"소비자 사정으로 창호공사 계약을 해제하는 경우, 계약 또는 실측만 했다면 총 시공비 10% 한도 내 계약금 위약금, 제작·공사 착수 후에는 사업자가 입증하는 실손해액 배상이 문제될 수 있다.","{""document_id"": ""DISPUTE_0009"", ""document_type"": ""DISPUTE_STANDARD"", ""source_file"": ""54. 창호공사업(1개 업종).pdf"", ""source_org"": ""공정거래위원회"", ""category"": ""창호"", ""service_task"": ""소비자 귀책 계약해제"", ""risk_type"": [""계약해제"", ""위약금"", ""실손해액""], ""retrieval_tags"": [""창호"", ""계약금"", ""실측"", ""공사착수"", ""실손해액""], ""reliability_score"": 1.0, ""priority"": ""중"", ""risk_category"": ""CONTRACT""}",1,중,사용,CONTRACT
CONTRACT_STD_0001,실내건축 표준계약서(공정거래위원회).hwp,제2조,CONTRACT_STANDARD,공정거래위원회,공통,계약체결,"계약서미작성, 공사범위불명확, 계약분쟁","표준계약서, 계약서 제공, 설명 의무, 공사면허, 계약항목",시공업자의 계약서 제공·설명 의무와 필수 설명 항목.,"시공장소/일정, 공사비, 공사범위, 연체료/지체보상금, 계약해제, 하자보수 등을 소비자가 이해할 수 있도록 설명해야 함.",모든 리스크 리포트에서 계약서 작성 및 필수 항목 확인 체크리스트로 사용.,계약 체결 시 시공업자는 계약서와 공사면허 등을 제공하고 시공장소·공사일정·공사비·공사범위·연체료·지체보상금·계약해제·하자보수 조항을 설명해야 한다.,"{""document_id"": ""CONTRACT_STD_0001"", ""document_type"": ""CONTRACT_STANDARD"", ""source_file"": ""실내건축 표준계약서(공정거래위원회).hwp"", ""source_org"": ""공정거래위원회"", ""category"": ""공통"", ""service_task"": ""계약체결"", ""risk_type"": [""계약서미작성"", ""공사범위불명확"", ""계약분쟁""], ""retrieval_tags"": [""표준계약서"", ""계약서 제공"", ""설명 의무"", ""공사면허"", ""계약항목""], ""reliability_score"": 1.0, ""priority"": ""상"", ""risk_category"": ""CONTRACT""}",1,상,사용,CONTRACT
CONTRACT_STD_0002,실내건축 표준계약서(공정거래위원회).hwp,제3조,CONTRACT_STANDARD,공정거래위원회,공통,공사범위/내역서,"공사범위불명확, 추가비용, 자재변경","공사내역, 물량, 시공자재, 제품, 규격, 창호 유리두께",계약내용에 공사범위·물량·자재 제품·규격을 명확히 기재해야 함.,"시공업자는 소비자가 쉽게 이해하도록 공사의 범위와 물량, 시공자재의 제품·규격을 기재한 별도 내역서를 제출해야 함.",견적서/계약서에 공사 범위와 자재 스펙 명시 필요 안내.,"공사 범위와 물량, 시공자재의 제품·규격이 불명확하면 추가비용·자재분쟁이 발생할 수 있으므로 별도 내역서로 명확히 기재해야 한다.","{""document_id"": ""CONTRACT_STD_0002"", ""document_type"": ""CONTRACT_STANDARD"", ""source_file"": ""실내건축 표준계약서(공정거래위원회).hwp"", ""source_org"": ""공정거래위원회"", ""category"": ""공통"", ""service_task"": ""공사범위/내역서"", ""risk_type"": [""공사범위불명확"", ""추가비용"", ""자재변경""], ""retrieval_tags"": [""공사내역"", ""물량"", ""시공자재"", ""제품"", ""규격"", ""창호 유리두께""], ""reliability_score"": 1.0, ""priority"": ""상"", ""risk_category"": ""EXTRA_COST""}",1,상,사용,EXTRA_COST
